Serie,Diameter,Locatie nr,Uniek.nummer,x,y,Opnamenr.,Jaar,In,Opname,Uit,Dagen,Tijd,Totaal dagen uit,Geslacht,Leeftijdsfase,Opmerkingen,Camera,Totaal aantal opnames,Seizoen
34,8,12,M18.18,204012,449861,5,2018,14/08/2018,21/08/2018,15/09/2018,7,19:18,32,?,?,,Bushnell Throphy Cam HD Essential E3,,summer
34,8,12,M18.18,204012,449861,6,2018,14/08/2018,23/08/2018,15/09/2018,9,10:11,32,?,?,,Bushnell Throphy Cam HD Essential E3,,summer
34,8,12,M18.18,204012,449861,7,2018,14/08/2018,06/09/2018,15/09/2018,23,19:50,32,vro,adult,,Bushnell Throphy Cam HD Essential E3,,summer
34,8,12,M18.18,204012,449861,8,2018,14/08/2018,09/09/2018,15/09/2018,26,07:48,32,vro,adult,,Bushnell Throphy Cam HD Essential E3,,summer
34,8,12,M18.18,204012,449861,9,2018,14/08/2018,13/09/2018,15/09/2018,30,12:14,32,?,adult,,Bushnell Throphy Cam HD Essential E3,,summer
34,8,12,M18.18,204012,449861,10,2018,14/08/2018,14/09/2018,15/09/2018,31,19:06,32,man,adult,,Bushnell Throphy Cam HD Essential E3,,summer
35,10,12,M18.19,204012,449861,1,2018,15/09/2018,26/09/2018,05/10/2018,11,16:58,20,vro,adult,,Scout guard White Flash,24,autumn
36,8,13,M18.20,204124,449892,1,2018,06/04/2018,13/04/2018,04/05/2018,7,06:42,28,man,adult,,Bushnell Throphycam HD,19,spring
36,8,13,M18.20,204124,449892,2,2018,06/04/2018,01/05/2018,04/05/2018,25,19:39,28,man,adult,,Bushnell Throphycam HD,,spring
36,8,13,M18.20,204124,449892,3,2018,06/04/2018,03/05/2018,04/05/2018,27,12:25,28,?,adult,,Bushnell Throphycam HD,,spring
Dieren,8,13,M18.21,204124,449892,,2018,14/08/2018,geen,15/09/2018,,,32,,,,Reconyx Ultrafire,,summer
37,8,14,M18.22,203824,449607,1,2018,06/04/2018,24/04/2018,06/05/2018,18,12:35,30,?,adult,,Bushnell Throphycam HD,-,spring
37,8,14,M18.22,203824,449607,2,2018,06/04/2018,24/04/2018,06/05/2018,18,18:16,30,man,adult,,Bushnell Throphycam HD,,spring
38,8,14,M18.23,203824,449607,1,2018,15/09/2018,28/09/2018,05/10/2018,13,19:07,20,vro,adult,,Bushnell Throphycam HD,62,autumn
38,8,14,M18.23,203824,449607,2,2018,15/09/2018,29/09/2018,05/10/2018,14,07:01,20,vro,adult,,Bushnell Throphycam HD,,autumn
Dieren,10,15,M18.24,203848,449953,,2018,06/04/2018,geen,13/04/2018,,,7,,,,Bushnell Throphycam HD,,spring
39,8,16,M18.25,204076,449761,1,2018,04/05/2018,08/05/2018,21/05/2018,4,09:16,17,?,juv,,Bushnell Throphycam HD,20,spring
Dieren,8,17,M18.26,203839,449960,,2018,04/05/2018,geen,01/06/2018,,,28,,,,Browning Strike Force,,spring
Dieren,8,17,M18.27,203839,449960,,2018,15/09/2018,geen,05/10/2018,,,20,,,,Browning Strike Force,,autumn
40,8,18,M18.28,204074,450023,1,2018,04/05/2018,29/05/2018,01/06/2018,25,10:30,28,man,adult,,Browning Dark Ops,4,spring
Dieren,8,18,M18.29,204074,450023,,2018,02/07/2018,geen,14/08/2018,,,43,,,,Browning Strike Force,,summer
41,8,18,M18.30,204074,450023,1,2018,14/08/2018,23/08/2018,15/09/2018,9,10:55,32,?,adult,,Bushnell Trophy Cam 12MP Essential low glow,46,summer
41,8,18,M18.30,204074,450023,2,2018,14/08/2018,30/08/2018,15/09/2018,16,14:43,32,?,adult,,Bushnell Trophy Cam 12MP Essential low glow,,summer
41,8,18,M18.30,204074,450023,3,2018,14/08/2018,10/09/2018,15/09/2018,27,08:14,32,vro,adult,,Bushnell Trophy Cam 12MP Essential low glow,,summer
42,8,18,M18.31,204074,450023,1,2018,15/09/2018,18/09/2018,05/10/2018,3,13:19,20,man,adult,,Browning Dark Ops,37,summer
42,8,18,M18.31,204074,450023,2,2018,15/09/2018,19/09/2018,05/10/2018,4,14:14,20,vro,adult,,Browning Dark Ops,,summer
42,8,18,M18.31,204074,450023,3,2018,15/09/2018,26/09/2018,05/10/2018,11,08:19,20,vro,adult,,Browning Dark Ops,,autumn
42,8,18,M18.31,204074,450023,4,2018,15/09/2018,28/09/2018,05/10/2018,13,08:49,20,man,adult,,Browning Dark Ops,,autumn
42,8,18,M18.31,204074,450023,5,2018,15/09/2018,03/10/2018,05/10/2018,18,07:29,20,man,adult,,Browning Dark Ops,,autumn
42,8,18,M18.31,204074,450023,6,2018,15/09/2018,03/10/2018,05/10/2018,18,19:10,20,man,adult,,Browning Dark Ops,,autumn
43,10,19,M18.32,203676,449686,1,2018,06/05/2018,15/05/2018,14/06/2018,9,13:50,39,man,adult,,Bushnell Throphycam HD,17,spring
43,10,19,M18.32,203676,449686,2,2018,06/05/2018,17/05/2018,14/06/2018,11,15:16,39,man,adult,,Bushnell Throphycam HD,,spring
43,10,19,M18.32,203676,449686,3,2018,06/05/2018,20/05/2018,14/06/2018,14,17:46,39,man,adult,,Bushnell Throphycam HD,,spring
43,10,19,M18.32,203676,449686,4,2018,06/05/2018,27/05/2018,14/06/2018,21,06:26,39,man,adult,,Bushnell Throphycam HD,,spring
43,10,19,M18.32,203676,449686,5,2018,06/05/2018,03/06/2018,14/06/2018,28,11:14,39,man,adult,,Bushnell Throphycam HD,,spring
Dieren,8,20,M18.33,203814,449655,,2018,06/05/2018,geen,01/06/2018,,,26,,,,Bushnell Throphycam HD,,spring
44,8,21,M18.34,204305,450188,1,2018,11/05/2018,27/05/2018,14/06/2018,16,13:49,34,man,adult,,Bushnell Throphy Cam HD Essential E3,24,spring
45,8,22,M18.35,204327,449925,1,2018,11/05/2018,13/05/2018,17/06/2018,2,19:39,37,man,adult,,Primos Proof Generation 3,44,spring
45,8,22,M18.35,204327,449925,2,2018,11/05/2018,05/06/2018,17/06/2018,25,12:01,37,man,adult,,Primos Proof Generation 3,,spring
45,8,22,M18.35,204327,449925,3,2018,11/05/2018,05/06/2018,17/06/2018,25,15:31,37,?,juv,,Primos Proof Generation 3,,spring
45,8,22,M18.35,204327,449925,4,2018,11/05/2018,06/06/2018,17/06/2018,26,08:35,37,man,adult,,Primos Proof Generation 3,,spring
45,8,22,M18.35,204327,449925,5,2018,11/05/2018,07/06/2018,17/06/2018,27,05:18,37,vro,adult,,Primos Proof Generation 3,,spring
45,8,22,M18.35,204327,449925,6,2018,11/05/2018,10/06/2018,17/06/2018,30,09:15,37,man,adult,,Primos Proof Generation 3,,spring
45,8,22,M18.35,204327,449925,7,2018,11/05/2018,12/06/2018,17/06/2018,32,09:13,37,man,adult,,Primos Proof Generation 3,,spring
45,8,22,M18.35,204327,449925,8,2018,11/05/2018,12/06/2018,17/06/2018,32,18:10,37,man,adult,,Primos Proof Generation 3,,spring
45,8,22,M18.35,204327,449925,9,2018,11/05/2018,15/06/2018,17/06/2018,35,06:22,37,vro,adult,,Primos Proof Generation 3,,spring
46,8,22,M18.36,204327,449925,1,2018,15/09/2018,18/09/2018,05/10/2018,3,07:41,20,vro,adult,,Primos Proof Generation 3,17,summer
46,8,22,M18.36,204327,449925,2,2018,15/09/2018,21/09/2018,05/10/2018,6,08:11,20,vro,adult,,Primos Proof Generation 3,,summer
46,8,22,M18.36,204327,449925,3,2018,15/09/2018,22/09/2018,05/10/2018,7,07:27,20,vro,adult,,Primos Proof Generation 3,,summer
46,8,22,M18.36,204327,449925,4,2018,15/09/2018,24/09/2018,05/10/2018,9,07:36,20,vro,adult,,Primos Proof Generation 3,,autumn
46,8,22,M18.36,204327,449925,5,2018,15/09/2018,26/09/2018,05/10/2018,11,07:27,20,man,adult,,Primos Proof Generation 3,,autumn
Dieren,8,23,M18.37,204254,449807,,2018,11/05/2018,geen,05/06/2018,,,25,,,,Reconyx Ultrafire,,spring
Dieren,8,23,M18.38,204254,449807,,2018,17/06/2018,geen,02/07/2018,,,15,,,,Primos Proof Generation 3,,summer
Dieren,8,24,M18.39,204357,449623,,2018,11/05/2018,geen,01/06/2018,,,21,,,,Scout guard Two focus,,spring
47,10,25,M18.40,203964,449554,1,2018,11/05/2018,11/05/2018,14/06/2018,0,16:58,34,man,adult,,Scout guard Black IR,23,spring
47,10,25,M18.40,203964,449554,2,2018,11/05/2018,13/05/2018,14/06/2018,2,05:52,34,man,adult,,Scout guard Black IR,,spring
47,10,25,M18.40,203964,449554,3,2018,11/05/2018,14/05/2018,14/06/2018,3,12:37,34,man,adult,,Scout guard Black IR,,spring
47,10,25,M18.40,203964,449554,4,2018,11/05/2018,14/05/2018,14/06/2018,3,16:24,34,man,?,,Scout guard Black IR,,spring
47,10,25,M18.40,203964,449554,5,2018,11/05/2018,15/05/2018,14/06/2018,4,14:08,34,man,adult,,Scout guard Black IR,,spring
47,10,25,M18.40,203964,449554,6,2018,11/05/2018,16/05/2018,14/06/2018,5,18:04,34,man,adult,,Scout guard Black IR,,spring
47,10,25,M18.40,203964,449554,7,2018,11/05/2018,17/05/2018,14/06/2018,6,15:44,34,?,adult,,Scout guard Black IR,,spring
47,10,25,M18.40,203964,449554,8,2018,11/05/2018,19/05/2018,14/06/2018,8,05:54,34,?,adult,,Scout guard Black IR,,spring
47,10,25,M18.40,203964,449554,9,2018,11/05/2018,19/05/2018,14/06/2018,8,17:27,34,man,adult,,Scout guard Black IR,,spring
47,10,25,M18.40,203964,449554,10,2018,11/05/2018,23/05/2018,14/06/2018,12,10:01,34,man,adult,,Scout guard Black IR,,spring
47,10,25,M18.40,203964,449554,11,2018,11/05/2018,31/05/2018,14/06/2018,20,11:52,34,man,adult,,Scout guard Black IR,,spring
47,10,25,M18.40,203964,449554,12,2018,11/05/2018,03/06/2018,14/06/2018,23,14:16,34,man,adult,,Scout guard Black IR,,spring
47,10,25,M18.40,203964,449554,13,2018,11/05/2018,03/06/2018,14/06/2018,23,21:24,34,?,adult,,Scout guard Black IR,,spring
47,10,25,M18.40,203964,449554,14,2018,11/05/2018,06/06/2018,14/06/2018,26,09:07,34,man,adult,,Scout guard Black IR,,spring
47,10,25,M18.40,203964,449554,15,2018,11/05/2018,11/06/2018,14/06/2018,31,07:19,34,man,adult,,Scout guard Black IR,,spring
48,10,25,M18.41,203964,449554,1,2018,14/08/2018,23/08/2018,15/09/2018,9,10:54,32,man,adult,,Scout guard Black IR,273,summer
48,10,25,M18.41,203964,449554,2,2018,14/08/2018,25/08/2018,15/09/2018,11,04:46,32,vro,adult,,Scout guard Black IR,,summer
48,10,25,M18.41,203964,449554,3,2018,14/08/2018,25/08/2018,15/09/2018,11,20:13,32,?,adult,,Scout guard Black IR,,summer
